timestamp,action,entity_type,entity_id,details
2026-04-22 10:32:31,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:34:50,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:35:50,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:36:17,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:37:20,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 11:13:50,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 17:54:32,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 17:59:58,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:07:10,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:24:04,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:33:28,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:35:34,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:37:45,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:39:43,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 18:46:08,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 19:21:33,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 19:24:02,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 19:28:44,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 19:43:56,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 20:08:30,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 20:31:12,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 20:49:50,manual_select,site,SITE1134,Selected from Site Filtering Dashboard
2026-04-22 20:50:03,manual_select,site,SITE1134,Selected from Site Filtering Dashboard
2026-04-22 21:04:55,study_setup_generate,protocol,,"TA=Cardiology; indication=NSCLC; phase=I; enrollment=1; age=0-0; gender=All; geographies=Asia-Pacific,Europe,Latin America; biomarker=False; rare_protocol=False; density_tolerance=Low; irb_pref=Either"
2026-04-22 22:14:41,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 23:08:52,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-23 07:11:40,login,user,admin,role=Admin; full_name=Alex Morgan
